Gender,Attendent,Lecture,Lab,Grade,,,
ພຣະ,10,29,24,C,,,
ນາງ,2,0,0,F,,,
ນາງ,10,31,27,C+,,,
ນາງ,10,49,38,A,,,
ນາງ,10,31,29,B,,,
ນາງ,10,39,37,A,,,
ນາງ,10,37,31,B+,,,
ນາງ,10,34,27,B,,,
ນາງ,10,36,32,B+,,,
ນາງ,10,32,36,B+,,,
ນາງ,10,31,28,C+,,,
ທ້າວ,10,36,32,B+,,,
ນາງ,10,33,32,B+,,,
ນາງ,10,38,36,A,,,
ທ້າວ,10,28,23,C,,,
ທ້າວ,10,33,37,A,,,
ທ້າວ,10,30,31,B,,,
ທ້າວ,6,29,37,B,,,
ທ້າວ,4,24,14,F,,,
ທ້າວ,10,44,35,A,,,
ທ້າວ,10,30,29,C+,,,
ທ້າວ,10,42,40,A,,,
ທ້າວ,10,35,28,B,,,
ທ້າວ,6,21,8,F,,,
ທ້າວ,0,,0,F,,,
ທ້າວ,8,27,30,C+,,,
ທ້າວ,10,39,38,A,,,
ທ້າວ,6,26,18,D,,,
ທ້າວ,6,29,31,C+,,,
ທ້າວ,10,35,32,B+,,,
ທ້າວ,10,23,27,C,,,
ທ້າວ,10,31,34,B+,,,
ທ້າວ,10,41,39,A,,,
ທ້າວ,10,25,26,C,,,
